Plug,Socket,Plug Identifier,Socket Identifier,Config,Set Speed (mm/s),Test Sequence,Cycle #,Force Mate,Force Demate,No binding,Functional,No leaks,No damage
Cejn,Cejn,2BP-C010,B2-C131,R,40,3,,100.730494,3.038126,P,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,C,40,5,,219.253029,39.255879,P,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,A,40,7,,91.941758,3.166951,P,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,A,400,8,,97.896341,4.734323,P,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,R,400,14,,292.711865,37.438013,F,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,C,400,20,,413.409595,39.388282,F,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,C,40,24,,291.838512,44.931341,F,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,A,40,26,,95.527384,3.288619,P,P,P,P
Cejn,Cejn,2BP-C010,B2-C131,R,40,28,,158.340295,3.199157,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D-117,R,40,3,,115.302024,4.39079,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D-117,C,40,5,,143.121068,3.982843,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D-117,A,40,7,,90.803802,7.51122,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,A,400,8,,99.617588,15.036755,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,R,400,14,,229.050843,12.546136,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,C,400,20,,288.15643,42.923816,F,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,C,40,24,,195.584934,3.907695,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,A,40,26,,94.421634,8.015785,P,P,P,P
Cejn,Danfoss,2BP-C013,2B-D117,R,40,28,,113.423326,4.143875,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,R,40,3,,111.662719,3.392395,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,C,40,5,,256.891314,14.113508,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,A,40,7,,88.635247,4.068727,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,A,400,8,,88.764071,9.414969,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,R,400,14,,280.133456,48.670849,F,P,P,P
Cejn,Parker,2BP-C024,2B-P48,C,400,20,,277.789528,26.29464,F,P,P,P
Cejn,Parker,2BP-C024,2B-P48,C,40,24,,170.288851,26.384101,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,A,40,26,,85.754577,8.667068,P,P,P,P
Cejn,Parker,2BP-C024,2B-P48,R,40,28,,132.027809,3.453229,P,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,R,40,3,,207.9057,3.295776,P,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,C,40,5,,334.497559,185.404258,F,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,A,40,7,,84.441273,6.523561,P,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,A,400,8,,160.294178,15.222836,P,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,R,400,14,,319.128071,41.46022,F,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,C,400,20,,515.206295,185.157386,F,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,C,40,24,,317.081165,281.346594,F,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,A,40,26,,83.704109,3.682251,P,P,P,P
Cejn,Safeway,2BP-C025,2B-S203,R,40,28,,170.822023,3.285041,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,R,40,3,,94.5111,3.23852,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,C,40,5,,188.19897,3.056018,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,A,40,7,,135.649218,3.166951,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,A,400,8,,177.431469,15.491221,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,R,400,14,,346.098481,63.156515,F,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,C,400,20,,310.321055,34.442829,F,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,C,40,24,,270.639383,3.192,F,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,A,40,26,,123.500314,3.149059,P,P,P,P
Danfoss,Cejn,2BP-D021,2B-C136,R,40,28,,98.94841,3.131166,P,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,R,40,3,,100.870051,3.020233,P,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,C,40,5,,281.643367,2.952242,F,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,A,40,7,,103.41435,3.088224,P,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,A,400,8,,99.749991,19.4848,P,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,R,400,14,,305.776675,48.119763,F,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,C,400,20,,258.408688,0.508148,F,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,C,40,24,,316.576326,3.030969,F,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,A,40,26,,113.065492,2.912879,P,P,P,P
Danfoss,Danfoss,2BP-D020,2B-D113,R,40,28,,247.050285,2.962978,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,R,40,3,,95.795775,3.249256,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,C,40,5,,227.948644,3.106117,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,A,40,7,,140.898843,3.342296,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,A,400,8,,209.483795,17.291194,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,R,400,14,,331.645312,41.503162,F,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,C,400,20,,393.320156,60.150598,F,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,C,40,24,,317.181013,4.143875,F,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,A,40,26,,99.470872,3.4747,P,P,P,P
Danfoss,Parker,2BP-D060,2B-P47,R,40,28,,105.74393,3.285041,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,R,40,3,,87.847982,3.517642,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,C,40,5,,239.743072,15.623625,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,A,40,7,,186.803457,4.36574,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,A,400,8,,121.567935,8.981974,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,R,400,14,,204.83534,13.816495,F,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,C,400,20,,372.246567,246.578015,F,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,C,40,24,,161.528668,12.399418,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,A,40,26,,85.35379,4.988395,P,P,P,P
Danfoss,Safeway,2BP-D069,2B-S202,R,40,28,,89.712369,3.199157,P,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,R,40,3,,326.961393,95.670543,F,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,C,40,5,,169.404958,328.50362,F,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,A,40,7,,85.364525,3.811077,P,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,A,400,8,,159.721591,5.360557,P,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,R,400,14,,316.07571,151.015237,F,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,C,400,20,,516.33727,379.096083,F,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,C,40,24,,163.611419,321.171328,F,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,A,40,26,,87.95534,3.295776,P,P,P,P
Safeway,Safeway,2BP-S087,2B-S200,R,40,28,,246.345672,89.930671,P,P,P,P
Parker,Parker,2BP-P139,2B-P46,R,40,3,,293.584871,4.430153,F,P,P,P
Parker,Parker,2BP-P139,2B-P46,C,40,5,,324.474113,6.269489,F,P,P,P
Parker,Parker,2BP-P139,2B-P46,A,40,7,,96.039109,6.698906,P,P,P,P
Parker,Parker,2BP-P139,2B-P46,A,400,8,,176.511773,10.842781,P,P,P,P
Parker,Parker,2BP-P139,2B-P46,R,400,14,,393.137715,54.994016,F,P,P,P
Parker,Parker,2BP-P139,2B-P46,C,400,20,,393.98934,38.898031,F,P,P,P
Parker,Parker,2BP-P139,2B-P46,C,40,24,,153.30896,6.176449,P,P,P,P
Parker,Parker,2BP-P139,2B-P46,A,40,26,,90.406592,5.904485,P,P,P,P
Parker,Parker,2BP-P139,2B-P46,R,40,28,,111.104482,4.709274,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,R,40,3,,257.760785,2.995184,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,C,40,5,,190.059833,4.208287,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,A,40,7,,93.634377,3.156215,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,A,400,8,,207.76256,5.857965,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,R,400,14,,313.431191,25.342765,F,P,P,P
Parker,Cejn,2BP-P141,2B-C137,C,400,20,,447.505297,28.180497,F,P,P,P
Parker,Cejn,2BP-P141,2B-C137,C,40,24,,190.993794,5.743453,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,A,40,26,,94.546886,3.23852,P,P,P,P
Parker,Cejn,2BP-P141,2B-C137,R,40,28,,311.258877,3.152637,F,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,R,40,3,,125.500681,7.754557,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,C,40,5,,110.149023,10.789103,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,A,40,7,,92.024059,8.402261,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,A,400,8,,189.090097,13.387077,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,R,400,14,,354.486666,44.097557,F,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,C,400,20,,450.446851,30.935922,F,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,C,40,24,,120.319024,11.082538,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,A,40,26,,96.235922,8.033678,P,P,P,P
Parker,Danfoss,2BP-P140,2B-D123,R,40,28,,101.152751,5.686198,P,P,P,P
Parker,Safeway,2BP-P142,2B-S201,R,40,3,,299.195641,4.923983,F,P,P,P
Parker,Safeway,2BP-P142,2B-S201,C,40,5,,214.171472,7.693725,P,P,P,P
Parker,Safeway,2BP-P142,2B-S201,A,40,7,,98.157563,5.990368,P,P,P,P
Parker,Safeway,2BP-P142,2B-S201,A,400,8,,226.259669,52.231432,P,P,P,P
Parker,Safeway,2BP-P142,2B-S201,R,400,14,,399.682682,38.872982,F,P,P,P
Parker,Safeway,2BP-P142,2B-S201,C,400,20,,426.481809,19.860541,F,P,P,P
Parker,Safeway,2BP-P142,2B-S201,C,40,24,,293.566816,3.610682,F,P,P,P
Parker,Safeway,2BP-P142,2B-S201,A,40,26,,96.536514,3.553426,P,P,P,P
Parker,Safeway,2BP-P142,2B-S201,R,40,28,,312.135601,3.786027,F,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,R,40,3,,283.626155,3.317247,F,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,C,40,5,,193.194638,89.662282,P,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,A,40,7,,96.250244,3.460386,P,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,A,400,8,,99.134494,3.367346,P,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,R,400,14,,447.902712,39.012543,F,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,C,400,20,,443.196871,136.386439,F,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,C,40,24,,191.813352,88.853547,P,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,A,40,26,,93.573546,3.388816,P,P,P,P
Safeway,Cejn,2BP-S091,2B-C143,R,40,28,,225.84463,3.449651,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,R,40,3,,325.805586,3.141902,F,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,C,40,5,,181.37137,98.551213,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,A,40,7,,90.832434,10.731848,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,A,400,8,,97.882027,20.544029,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,R,400,14,,528.704357,38.117924,F,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,C,400,20,,428.324878,145.153701,F,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,C,40,24,,186.474274,99.868094,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,A,40,26,,91.913133,6.716799,P,P,P,P
Safeway,Danfoss,2BP-S090,2B-D181,R,40,28,,309.083427,3.081068,F,P,P,P
Safeway,Parker,2BP-S089,2B-P49,R,40,3,,143.346538,3.635731,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,C,40,5,,180.551911,3.496171,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,A,40,7,,86.545422,5.628942,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,A,400,8,,84.255198,12.34932,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,R,400,14,,248.224381,18.973078,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,C,400,20,,227.773321,30.864352,F,P,P,P
Safeway,Parker,2BP-S089,2B-P49,C,40,24,,143.944131,33.999098,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,A,40,26,,86.262723,10.742584,P,P,P,P
Safeway,Parker,2BP-S089,2B-P49,R,40,28,,138.902076,3.249256,P,P,P,P
