p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor,FORCE MAX,FORCE MIN,DIST @MAX,DIST @MIN
,,,,20,110.740875,-0.278978,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-1.687537,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-0.939621,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-51.495391,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-73.221829,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-78.397492,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-82.185079,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-2,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,,,,39.999981,1,4.65,0,,0,SAFEWAY,11.3-3,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,3.038126,-100.730494,147.3321,88.252128
,,,,20,110.740875,-0.330694,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-1.15871,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-16.038454,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-34.317335,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-76.767204,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-74.337612,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-79.959912,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-4,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,,,,39.999981,1,5.25,3,,0,SAFEWAY,11.3-5,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,39.255879,-219.253029,92.742625,87.732129
,,,,20,110.740875,-0.311127,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-0.447381,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-8.288823,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-36.526458,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-69.874438,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-76.889236,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-81.521213,0,39.999981,1,0,0,,0,SAFEWAY,11.3-6,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,,,,39.999981,1,0,0,,0,SAFEWAY,11.3-7,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,3.166951,-91.941758,115.812115,68.692138
,,,,20,,,,399.999809,1,0,0,,0,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.93027,-111.122381,91.8755,93.0813
,,,,20,,,,399.999809,1,0,0,,1,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.01097,-100.122153,94.8355,89.9613
,,,,20,,,,399.999809,1,0,0,,2,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,10.631651,-106.413112,95.0755,90.6813
,,,,20,,,,399.999809,1,0,0,,3,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,10.202234,-104.7527,94.9955,90.6813
,,,,20,,,,399.999809,1,0,0,,4,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.450754,-107.608322,95.3955,90.4413
,,,,20,,,,399.999809,1,0,0,,5,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.243203,-104.044162,96.0355,89.9613
,,,,20,,,,399.999809,1,0,0,,6,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,10.02331,-103.986906,94.9955,90.2013
,,,,20,,,,399.999809,1,0,0,,7,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.293301,-104.559462,95.6355,90.4413
,,,,20,,,,399.999809,1,0,0,,8,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.314772,-105.497022,96.9155,90.0413
,,,,20,,,,399.999809,1,0,0,,9,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.643992,-104.902995,95.0755,90.6013
,,,,20,,,,399.999809,1,0,0,,10,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.966055,-104.881525,94.8355,90.3613
,,,,20,,,,399.999809,1,0,0,,11,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.01418,-103.679157,94.9955,90.1213
,,,,20,,,,399.999809,1,0,0,,12,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.221732,-105.675946,95.0755,90.4413
,,,,20,,,,399.999809,1,0,0,,13,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.863884,-105.038978,95.3155,90.4413
,,,,20,,,,399.999809,1,0,0,,14,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.506037,-103.922494,94.9955,90.3613
,,,,20,,,,399.999809,1,0,0,,15,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.558108,-106.391641,94.0355,90.6013
,,,,20,,,,399.999809,1,0,0,,16,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.500853,-104.631032,95.1555,90.5213
,,,,20,,,,399.999809,1,0,0,,17,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.554162,-104.831426,95.3955,90.3613
,,,,20,,,,399.999809,1,0,0,,18,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.599077,-103.722099,95.0755,90.3613
,,,,20,,,,399.999809,1,0,0,,19,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.999866,-105.869184,95.4755,90.3613
,,,,20,,,,399.999809,1,0,0,,20,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.248386,-104.867211,95.1555,90.5213
,,,,20,,,,399.999809,1,0,0,,21,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.627705,-104.008377,95.3155,89.9613
,,,,20,,,,399.999809,1,0,0,,22,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.91201,-104.902996,95.6355,90.3613
,,,,20,,,,399.999809,1,0,0,,23,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.248386,-104.595247,95.4755,90.2013
,,,,20,,,,399.999809,1,0,0,,24,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,8.012207,-102.183355,95.1555,90.6813
,,,,20,,,,399.999809,1,0,0,,25,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.640046,-102.433848,95.3955,90.2813
,,,,20,,,,399.999809,1,0,0,,26,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.790342,-103.235427,94.5955,90.9213
,,,,20,,,,399.999809,1,0,0,,27,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.389552,-102.877579,96.0355,89.9613
,,,,20,,,,399.999809,1,0,0,,28,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,7.940638,-100.408431,95.1555,90.0413
,,,,20,,,,399.999809,1,0,0,,29,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,6.1514,-104.208771,94.7555,90.1213
,,,,20,,,,399.999809,1,0,0,,30,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,6.058359,-102.763068,96.7555,90.2813
,,,,20,,,,399.999809,1,0,0,,31,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,6.809839,-99.041454,95.3955,90.1213
,,,,20,,,,399.999809,1,0,0,,32,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,6.187184,-98.597723,95.8755,89.8813
